prompt,arm,frames,PSNR_YUV_dB,PSNR_Y_dB,SSIM_All,SSIM_Y
01-moon-teahouse,original,361,Infinity,Infinity,1.0,1.0
02-dachshund-skatepark,original,361,Infinity,Infinity,1.0,1.0
03-attic-rain,original,361,Infinity,Infinity,1.0,1.0
04-doorway-worlds,original,361,Infinity,Infinity,1.0,1.0
05-ronin-void,original,361,Infinity,Infinity,1.0,1.0
06-anime-maid-livestream,original,361,Infinity,Infinity,1.0,1.0
07-ninja-obstacle-course,original,361,Infinity,Infinity,1.0,1.0
01-moon-teahouse,dit_mxfp8,361,16.494942,14.814172,0.594634,0.470556
02-dachshund-skatepark,dit_mxfp8,361,14.459161,12.745921,0.574818,0.443928
03-attic-rain,dit_mxfp8,361,17.226753,15.555101,0.593496,0.470837
04-doorway-worlds,dit_mxfp8,361,16.239945,14.621978,0.562776,0.456405
05-ronin-void,dit_mxfp8,361,18.028769,16.369107,0.714721,0.620058
06-anime-maid-livestream,dit_mxfp8,361,15.943382,14.291132,0.428447,0.28375
07-ninja-obstacle-course,dit_mxfp8,361,15.912503,14.493733,0.498527,0.420223
01-moon-teahouse,sage_attention,361,18.364964,16.685209,0.661501,0.554489
02-dachshund-skatepark,sage_attention,361,16.281854,14.581051,0.608004,0.488973
03-attic-rain,sage_attention,361,19.634482,17.967316,0.659005,0.552352
04-doorway-worlds,sage_attention,361,18.224034,16.594163,0.632626,0.532702
05-ronin-void,sage_attention,361,21.516033,19.862928,0.786798,0.716473
06-anime-maid-livestream,sage_attention,361,16.558589,14.907519,0.465643,0.320644
07-ninja-obstacle-course,sage_attention,361,17.347384,15.894212,0.545354,0.469707
01-moon-teahouse,vae_mxfp8,361,40.128706,38.710438,0.964271,0.953721
02-dachshund-skatepark,vae_mxfp8,361,38.115635,36.630354,0.956744,0.944021
03-attic-rain,vae_mxfp8,361,41.070954,39.760401,0.970607,0.963647
04-doorway-worlds,vae_mxfp8,361,40.449539,39.119669,0.967065,0.958334
05-ronin-void,vae_mxfp8,361,40.837662,39.472586,0.964934,0.95402
06-anime-maid-livestream,vae_mxfp8,361,37.603309,36.211805,0.961042,0.952346
07-ninja-obstacle-course,vae_mxfp8,361,37.672469,36.479347,0.954035,0.945901
01-moon-teahouse,vae_nvfp4,361,38.042806,36.561898,0.956724,0.943962
02-dachshund-skatepark,vae_nvfp4,361,35.869151,34.325453,0.944679,0.928078
03-attic-rain,vae_nvfp4,361,38.652889,37.235843,0.962476,0.953249
04-doorway-worlds,vae_nvfp4,361,38.536463,37.153564,0.960309,0.949953
05-ronin-void,vae_nvfp4,361,38.908861,37.487953,0.958152,0.945146
06-anime-maid-livestream,vae_nvfp4,361,35.060798,33.572394,0.950572,0.939422
07-ninja-obstacle-course,vae_nvfp4,361,35.196199,33.893357,0.937304,0.925382
01-moon-teahouse,dit_mxfp8_o_bf16,361,16.658853,14.976737,0.598243,0.473725
02-dachshund-skatepark,dit_mxfp8_o_bf16,361,15.420704,13.716549,0.59044,0.467013
03-attic-rain,dit_mxfp8_o_bf16,361,18.119609,16.454336,0.605185,0.486088
04-doorway-worlds,dit_mxfp8_o_bf16,361,15.911824,14.279703,0.557461,0.447135
05-ronin-void,dit_mxfp8_o_bf16,361,18.197101,16.527812,0.722143,0.630029
06-anime-maid-livestream,dit_mxfp8_o_bf16,361,15.731088,14.077836,0.429774,0.286472
07-ninja-obstacle-course,dit_mxfp8_o_bf16,361,16.077377,14.670275,0.504095,0.428011
01-moon-teahouse,dit_mxfp8_qkvo_bf16,361,17.271139,15.586137,0.622174,0.504986
02-dachshund-skatepark,dit_mxfp8_qkvo_bf16,361,15.439558,13.732627,0.589041,0.464248
03-attic-rain,dit_mxfp8_qkvo_bf16,361,19.675549,18.005248,0.653101,0.544927
04-doorway-worlds,dit_mxfp8_qkvo_bf16,361,17.095364,15.457359,0.613955,0.512591
05-ronin-void,dit_mxfp8_qkvo_bf16,361,19.739996,18.084767,0.752248,0.670814
06-anime-maid-livestream,dit_mxfp8_qkvo_bf16,361,15.824569,14.173288,0.430607,0.285339
07-ninja-obstacle-course,dit_mxfp8_qkvo_bf16,361,16.522738,15.074045,0.512928,0.435447
